id,name,photo,description,category,esposizione,fioritura,altezza,terreno,densità,vaso,disponibile,novità,utile_per,created_at,updated_at,price_cents,price_currency,nascondi
2,Actaea simplex 'Atropurpurea',,"Adatta agli angoli ombrosi e riparati del giardino. Le foglie giovani hanno toni purpurei per virare poi al verde. Fiorisce a fine estate con lunghe spighe affusolate, candide e profumatissime. Vuole terreni sempre freschi ma ben drenati, le foglie risentono dei periodi di secco. Lenta a stabilirsi ma longeva.
Origine: Asia, varietà coltivata.

",erbacee perenni,mezz'ombra,tarda estate,"alta, cm. 150-170","fresco, ricco di sostanza organica","",tondo cm.15 (2 L.),false,false,fogliame decorativo,2019-01-28 09:23:14 UTC,2019-08-20 17:31:34 UTC,1200,EUR,false
126,Adiantum pedatum 'Imbricatum',,"Una bella felce dalle foglie leggere che possono ricordare quelle del capelvenere. Varietà di dimensioni più contenute della specie. Spogliante.
 ",erbacee perenni,ombra,-,"bassa, cm. 30-40","fresco, umido, ben drenato.",9 piante mq.,tondo cm.13 (1 L.),true,false,"fogliame ornamentale, coprisuolo",2019-02-01 11:55:00 UTC,2021-01-21 16:10:44 UTC,600,EUR,false
127,Agapanthus 'Midnight Blue',,"Agapanto di dimensioni medie dai fiori blu scuro. Stelo fiorale scuro. Buona rusticità.
 ",erbacee perenni,sole,estate,"media, cm. 70-80","normale, ben drenato; tollera il secco",5-7 piante/mq.,tondo cm.15 (2 L.),true,false,da taglio,2019-02-01 11:58:37 UTC,2019-08-20 17:35:40 UTC,1000,EUR,false
128,Agapanthus 'Peter Pan',,"Piccole dimensioni, sempreverde con fiori blu.
Origine: Africa, varietà coltivata.


",erbacee perenni,sole,estate,"bassa, cm. 40-50","normale, ben drenato; tollera il secco",5-7 piante/mq.,tondo cm. 15 (2 L.),true,false,da taglio,2019-02-01 12:11:10 UTC,2019-08-20 17:34:56 UTC,1000,EUR,false
492,Agastache 'Black Adder',,"Bella varietà dai fiori azzurri in spighe dai calici blu scuro. Fioritura molto lunga, per tutta l'estate. Le spighe sono belle anche da secche sugli steli che restano eretti per tutto l'inverno.",erbacee perenni,sole,estate,"media, cm. 60-80","normale, ben drenato",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,Insetti,2019-02-19 15:33:10 UTC,2019-02-19 15:33:10 UTC,500,EUR,false
646,Agastache 'Little Adder',,"Forma bassa di A. 'Black Adder', fiori azzurri in spighe dai calici blu scuro. Fioritura molto lunga, per tutta l'estate. Le spighe sono belle anche da secche sugli steli che restano eretti per tutto l'inverno.",erbacee perenni,sole,estate,"bassa, cm. 30-40",normale,7-9 piante/mq.,tondo cm.13 (1 L.),true,true,farfalle e insetti,2021-01-30 18:23:10 UTC,2021-01-30 18:23:10 UTC,500,EUR,false
129,Alcalthea suffrutescens 'Parkallee',,"Ibrido di Alcea e Althea con fiori semidoppi color crema con ciuffo centrale di stami rosa.
Origine: ibrido orticolo.

",erbacee perenni,sole,inizio estate-autunno,"alta, cm. 100-120",normale,1 pianta/mq.,tondo cm.15 (2 L.),true,false,"",2019-02-01 12:13:54 UTC,2021-01-05 15:00:53 UTC,1000,EUR,false
3,Alcea 'Black Knight',,"Una presenza costante nei vecchi giardini, i malvoni erano in ogni cortile, accontendosi, a volte, delle crepe tra le pietre delle pavimentazioni, per crescere. Con le sue spighe torreggianti si alza sopra tutto e fiorisce, sfacciata. La varietà di colore più scuro, porpora quasi nero. 
Origine: Asia e  Europa, varietà coltivata. 
",erbacee perenni,sole,estate,"alta, cm. 150-200","normale, ben drenato","",tondo cm.15 (2 L.),false,false,insetti,2019-01-28 09:29:23 UTC,2019-08-20 17:37:34 UTC,700,EUR,false
493,Alcea ficifolia 'Happy Lights',,Ricca fioritura nei toni pastello per questa varietà di Alcea più resistente alla ruggine rispetto alle altre specie e varietà.,erbacee perenni,sole,estate,"alta, cm. 150-200","normale, non troppo asciutto",5-7 piante/mq.,tondo cm. 15 (2 L.),true,false,"",2019-02-19 15:36:26 UTC,2021-01-05 15:03:19 UTC,800,EUR,false
130,Alcea rugosa,,"Alti steli di fiori giallo chiaro. Inconfondibile.
Origine: Europa orientale.

",erbacee perenni,sole,estate,"alta, cm. 120-180","normale, ben drenato; non tollera i ristagni",5-7 piante/mq.,tondo cm.15 (2 L.),true,false,"",2019-02-01 12:18:52 UTC,2021-01-21 16:12:31 UTC,1000,EUR,false
4,Alchemilla mollis,,"Mettetela negli angoli freschi del giardino, vi innamorerete delle foglie che raccolgono la rugiada in perle e dei merletti giallo-verdi dei suoi fiori.
Origine: Alpi, Pirenei.

",erbacee perenni,mezz'ombra,primavera,"bassa, cm. 30-40","fresco, ricco di sostanza organica",7-11 piante/mq.,tondo cm.13 (1 L.),true,false,"coprisuolo, spontanea, fogliame ornamentale",2019-01-28 14:57:35 UTC,2021-01-21 16:13:09 UTC,500,EUR,false
5,Allium aflatunense 'Purple Sensation',,"Un Allium affidabile e robusto. Fiorisce in primavera avanzata con una sfera purpurea portata su steli alti e forti.
Origine: Asia; varietà coltivata.

",erbacee perenni,sole,tarda primavera,"media, cm. 70-90","leggero, ben drenato",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,insetti,2019-01-28 15:03:05 UTC,2021-01-21 16:13:55 UTC,500,EUR,false
6,Allium amplectens 'Graceful Beauty',,"Un bellissimo aglio dai grandi fiori bianchi a forma di stella, portati in ombrelle quasi sferiche. Una volta piantato dura per anni senza essere toccato.
Origine: Nord America; varietà coltivata.


",erbacee perenni,"sole, mezzombra",tarda primavera,"bassa, cm. 30-40","leggero, ben drenato",9-12 piante/mq.,tondo cm.13 (1 L.),false,false,insetti,2019-01-28 15:08:59 UTC,2020-10-31 14:12:56 UTC,500,EUR,false
7,Allium atropurpureum,,"Fiorisce in maggio-giugno con ombrelle piatte di intenso porpora scuro. Steli ben eretti. Con la fioritura le foglie basali iniziano a ingiallire ed essiccare, può essere utile mascherarle piantandolo tra graminacee basse.
Origine: Europa.



",erbacee perenni,sole,primavera,"media, cm. 60-80","leggero, ben drenato",7-20 piante/mq.,tondo cm.13 (1 L.),true,false,insetti,2019-01-28 15:13:54 UTC,2019-02-19 15:44:51 UTC,500,EUR,false
594,Allium cernuum,,Quando è in fiore sembra un'esplosione di mini fuochi artificiali lilla. Diverso dai soliti allium.,erbacee perenni,sole-mezz'ombra,estate,"bassa, cm. 30-45","normale, ben drenato; tollera il secco",9-11 piante/mq.,tondo cm.13 (1 L.),true,false,Insetti,2019-11-23 16:10:50 UTC,2020-10-08 17:19:51 UTC,500,EUR,false
8,Allium coeruleum,,"Un Allium dai fiori azzurri, senza cedimenti a toni violacei. Fioritura in ombrelle sferiche a fine primavera, inizio estate.
Origine: Asia centrale.

",erbacee perenni,sole,tarda primavera,"media, cm. 50-60","leggero, ben drenato",9-20 piante/mq.,tondo cm. 13 (1 L.,true,false,insetti,2019-01-28 15:17:22 UTC,2019-02-19 15:45:25 UTC,500,EUR,false
9,Allium cowanii,,"Uno dei primi agli a fiorire, ha tutta la delicatezza delle fioriture primaverili. I fiori bianchi, ben distanziati tra loro, sono disposti su ombrelle semisferiche. Duraturo. Ottimo come fiore da taglio.
Origine: Europa del sud e Nordafrica.
",erbacee perenni,"ombra, mezz'ombra",primavera,"bassa, cm. 30-40","fresco, ricco di sostanza organica. Sopporta anche terreni pesanti.",9-12 piante/mq.,tondo cm.13 (1 L.),false,false,"insetti,  da taglio",2019-01-28 15:21:05 UTC,2020-10-31 14:20:28 UTC,500,EUR,false
621,Allium 'Gladiator',,"Steli fiorali alti, rigidi, infiorescenza purpurea che può arrivare fino a 15cm. di diametro.
Piantato in gruppi di 10-15 bulbi, lo spettacolo al momento della fioritura è di grande impatto.
Origine: varietà coltivata.

",erbacee perenni,sole,estate,"media, 50-60cm.","normale, sciolto e ben drenato","9-11pianta/mq,",tondo cm.13 (1 L.),true,false,Insetti,2021-01-05 16:34:59 UTC,2021-01-21 09:33:32 UTC,600,EUR,false
595,Allium 'Millennium',,"Varietà di dimensioni contenute, ha una fioritura che è più tardiva rispetto all'Allium 'Summer Beauty' con piccoli e numerosi fiorellini rosa disposti a formare una sfera di pochi centimetri di diametro. Pianta facile e robusta, molto amata dagli insetti.",erbacee perenni,sole-mezz'ombra,estate,"bassa, cm. 30-40","normale, ben drenato; tollera il secco",9-11 piante/mq.,tondo cm.13 (1 L.),true,false,Insetti,2019-11-23 16:15:39 UTC,2020-10-19 07:00:27 UTC,500,EUR,false
10,Allium moly 'Jeannine',,"Anche questo è un aglio ottimo per essere naturalizzato. Belle foglie glauche e fiori gialli in mazzi. 
Origine: Europa; varietà coltivata.


",erbacee perenni,sole-mezzombra,tarda primavera,"bassa, cm. 30-40","leggero, ben drenato",9-12 piante/mq.,tondo cm.13 (1 L.),true,false,insetti,2019-01-28 15:24:59 UTC,2019-08-21 13:12:57 UTC,500,EUR,false
11,Allium schoenoprasum,,"La comune erba cipollina, utilissima in cucina, è anche molto bella in giardino con i suoi fiori rosa malva. Sopporta bene il secco ma in terreni ricchi e freschi produce foglie più abbondanti e delicate.
Origine: Europa.

",erbacee perenni,sole,primavera,"bassa, cm. 30-40","normale, ben drenato",9-12 piante/mq.,tondo cm.13 (1 L.),true,false,insetti,2019-01-28 15:28:02 UTC,2019-02-19 15:47:02 UTC,450,EUR,false
622,Allium 'Silver Spring',,"Fuori dal solito colore viola porpora degli altri Allium, questa varietà a fiore bianco e con gola rosa scuro forma delle sfere di circa 10cm. di diametro.
Non è così comune il suo utilizzo nei giardini ma a nostro parere merita un posto di tutto rispetto in mezo alle altre erbacee perenni.
Origine: varietà coltivata.
",erbacee perenni,sole,estate,"media, 60-70cm.","normale, sciolto e ben drenato","9-11pianta/mq,",tondo cm.13 (1 L.),true,false,Insetti,2021-01-05 16:39:35 UTC,2021-01-05 16:47:01 UTC,600,EUR,false
649,Allium sphaerocephalon,,"",erbacee perenni,sole,estate,"","","","",false,false,"",2021-01-30 18:37:02 UTC,2021-01-30 18:37:02 UTC,500,EUR,true
12,Allium 'Summer Beauty',,"Forma cespi compatti, ricchi di fiori rosa che attirano in gran numero api, farfalle e altri insetti impollinatori.
Origine: varietà coltivata.

",erbacee perenni,sole,estate,"media, cm. 50-60","normale, ben drenato",6-10 piante/mq.,tondo cm.13 (1 L.),true,false,insetti,2019-01-28 15:30:35 UTC,2019-08-21 13:14:55 UTC,500,EUR,false
13,Allium tuberosum,,"Detto anche ‘erba cipollina cinese’, si possono usare le foglie in cucina, hanno un delicato sapore agliaceo. Bella fioritura bianca a fine estate.
Origine: Cina, India.
",erbacee perenni,sole,tarda estate,"media, cm. 50-70",normale,7-11 piante/mq.,tondo cm.13 (1 L.),true,false,insetti,2019-01-28 15:39:36 UTC,2019-08-21 13:15:50 UTC,500,EUR,false
494,Althea cannabina,,"",erbacee perenni,sole,tarda estate-autunno  ,"alta, cm. 150-200","normale, ben drenato",1-3 piante/mq.,"",false,false,"",2019-02-19 15:50:10 UTC,2019-02-23 17:20:48 UTC,500,EUR,false
638,Amarine belladiva 'Emanuelle',,"Ibrido tra Amaryllis e Nerine, con fiori particolarmente vistosi   rosa pallido su steli dritti e rigidi. Si adatta bene al vaso e ha una fioritura piuttosto prolungata,
Origine: ibrido orticolo.",erbacee perenni,sole,estate- autunno,"alta, 70-80cm.","normale, ben drenato",5-7piante/mq.,tondo cm.15 (2 L.),true,false,"",2021-01-18 17:21:38 UTC,2021-01-19 16:20:42 UTC,1200,EUR,false
581,Ampelopsis brevipeduncolata 'Elegans',,"Una ‘vite vergine’ a sviluppo contenuto con fogliame molto decorativo, spruzzato di bianco e rosa. Belle bacche turchesi.
Origine: Asia, varietà coltivata.",altro,sole-mezzombra,estate,"alta, cm. 300-500",normale,-,tondo alto (3 L.),true,false,fogliame ornamentale,2019-08-22 14:16:01 UTC,2019-12-12 19:25:37 UTC,2000,EUR,false
496,Amsonia angustifolia,,"Le Amsonia sono perenni dallo sviluppo lento ma molto longeve e affidabili, interessanti per la fioritura e per fogliame e portamento: ordinate e gradevoli per tutta la stagione vegetativa. 
L'A. Angustifolia (syn. A. ciliata) port fiori a stella azzurro chiaro su foglie verde brillante che virano al giallo in autunno.
Origine: Nord America.
Origine: Nord America",erbacee perenni,sole-mezzombra,primavera,"media, cm. 70-80",normale,3-5 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-19 15:54:26 UTC,2021-01-05 15:37:37 UTC,600,EUR,false
14,Amsonia 'Blue Ice',,"Questa varietà è più compatta di altre con fiori di un azzurro più intenso, il fogliame diventa giallo intenso in autunno come nelle altre Amsonia.
Origine: Nord America, varietà coltivata.


",erbacee perenni,sole-mezzombra,primavera,"bassa, cm. 30-40",normale,5-7 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-01-28 16:20:19 UTC,2021-01-05 15:40:12 UTC,600,EUR,false
16,Amsonia hubrichtii,,"I fiori azzurri, a stella, sono graziosi. E’ proprio una meraviglia la massa di foglie sottili, piumose, leggere. In autunno prende il bagliore di una fiammata gialla. Un po’ di pazienza, cresce con calma.
Origine: Nord America.


",erbacee perenni,sole,primavera,"media, cm. 70-90",normale,3-5 piante/mq.,tondo cm.13 (1 L.),true,false,fogliame ornamentale,2019-01-28 16:27:11 UTC,2021-01-05 15:40:52 UTC,600,EUR,false
495,Amsonia illustris,,"L'A. illustris forma un cespo eretto che porta all'estremità fiori azzurro pallido a forma di stella. Foglie strette e lucide diventano gialle in autunno.
Origine: Nord America",erbacee perenni,sole-mezzombra,primavera,"media, cm. 60-70",normale,3-5 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-19 15:53:46 UTC,2021-01-05 15:41:31 UTC,600,EUR,false
25,Amsonia tabernaemontana 'Stella Azul',,"Varietà introdotta di recente, porta fiori azzurro pallido e foglie verdi, simili a quelle della specie di origine, con portamento più morbido ed elegante .
Origine: Nord America, varietà coltivata.

",erbacee perenni,"sole, mezzombra",primavera,"media, cm. 70-90",normale,3-5 piante/mq.,tondo cm.15 (2 L.),true,false,"",2019-01-30 07:04:15 UTC,2019-08-21 13:20:57 UTC,1000,EUR,false
571,Amsonia tabernaemontana var. salicifolia,,Fiori azzurri e foglie sottili e allungate.,erbacee perenni,sole-mezzombra,primavera,"media, cm. 70-80",normale,3-5 piante/mq.,tondo cm.13 (1 L.),true,false,fogliame ornamentale,2019-08-21 13:23:57 UTC,2021-01-05 15:42:07 UTC,600,EUR,false
26,Anaphalis margaritacea 'Neuschnee',,"Bel fogliame grigio e abbondante fioritura bianca. Adatta come fiore da taglio, si conserva anche nei mazzi di fiori secchi.
Origine: Asia e Nord America, varietà coltivata.

",erbacee perenni,sole,estate,"media, cm. 50-60","normale, ben drenato",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,"fogliame ornamentale, insetti",2019-01-30 07:09:32 UTC,2021-01-05 15:43:01 UTC,500,EUR,false
152,Andropogon gerardii,,"Origine: Nord America.
",graminacee,sole,tarda estate-autunno  ,"alta, cm. 150-160; in fioritura: cm. 170-180","normale, ben drenato; tollera il secco",1-3 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-01 17:19:18 UTC,2019-08-21 13:52:13 UTC,600,EUR,false
259,Andropogon ternarius,,"La fioritura più bella tra gli A. Steli di stelle argentee che si illuminano con il sole radente che li attraversa.
Origine: Nord America.


",graminacee,sole,tarda estate-autunno  ,"media, cm. 60-70; in fioritura: cm. 90-100","normale, ben drenato; tollera il secco e i terreni poveri",3-5 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-02 18:08:26 UTC,2019-08-21 13:53:38 UTC,600,EUR,false
153,Andropogon virginicus,,"Forma cespi eretti di foglie sottili che diventano rosso aranciate in autunno.
Origine: Nord America.

",graminacee,sole,tarda estate-autunno  ,"alta, cm. 50-60; in fioritura: cm. 100-120","normale, ben drenato; tollera il secco e i terreni poveri",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-01 17:21:20 UTC,2019-08-21 13:55:03 UTC,600,EUR,false
477,Anemanthele lessoniana,,"Elegante per le foglie aggettanti e le infiorescenze sparse. Ha bei colori ramati.
Origine: Nord America.
",graminacee,sole,"","media, cm. 70-90","leggero, ben drenato",3-5 piante/mq.,tondo cm.13 (1 L.),false,false,fogliame decorativo,2019-02-16 10:59:15 UTC,2019-02-23 17:43:13 UTC,500,EUR,true
497,Anemone canadensis,,"Fiorisce di bianco in primavera, sino all’inizio dell’estate. Lasciatele spazio: è vigorosa e crea un bel cuscino di foglie con i fiori bianchi che si stagliano netti.
Origine: Nord America.",erbacee perenni,sole-mezzombra,primavera,"media, cm. 50-70","fresco, ricco di sostanza organica",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-19 15:58:13 UTC,2019-08-21 13:56:03 UTC,600,EUR,false
498,Anemone coronaria 'Mount Everest',,"Indispensabile nei mazzi di fiori primaverili, facile da coltivare. In estate sparisce e va a riposo. Fiori bianchi",erbacee perenni,mezzombra,primavera,"bassa, cm. 40-50","fresco, ricco di sostanza organica, ben drenato",7-12 piante /mq.,tondo cm.13 (1 L.),false,false,da taglio,2019-02-19 15:59:26 UTC,2020-06-02 08:57:32 UTC,500,EUR,false
499,Anemone coronaria 'Mr. Fokker',,"Facile da coltivare, prezioso nel giardino di primavera per il vistosi fiori blu. ",erbacee perenni,mezzombra,primavera,"bassa, cm. 40-50","fresco, ricco di sostanza organica, ben drenato",7-12 piante /mq.,tondo cm.13 (1 L.),true,false,da taglio,2019-02-19 16:00:06 UTC,2021-01-05 15:44:50 UTC,500,EUR,false
27,Anemone cylindrica,,"Bianco, fiorisce in giugno-luglio e si espande senza essere troppo invasivo. Adatto a essere naturalizzato, tollera bene l’ombra secca. 
Origine: Nord America.


",erbacee perenni,mezz'ombra,tarda primavera,"media, cm. 50-70","normale, anche secco",7-9 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-01-30 07:18:11 UTC,2019-11-19 08:33:17 UTC,600,EUR,false
28,Anemone hyb. 'Andrea Atkinson',,"Una delle più belle varietà di anemoni giapponesi a fiore bianco. Fiori grandi portati da steli robusti.
Origine: Cina, ibrido orticolo.


",erbacee perenni,mezzombra,tarda estate,"alta, cm. 100-120","fresco, ricco di sostanza organica",5-7 piante/mq.,tondo cm.15 (2 L.),false,false,"",2019-01-30 07:21:15 UTC,2019-08-21 14:04:28 UTC,800,EUR,false
29,Anemone hyb. 'Honorine Jobert',,"Un classico! Bianco, a fiore semplice, pura eleganza per il giardino autunnale. Non se ne può fare a meno.
Origine: Cina, ibrido orticolo.

",erbacee perenni,mezzombra,tarda estate,"alta, cm. 100-120","fresco, ricco di sostanza organica",5-7 piante/mq.,tondo cm.15 (2 L.),false,false,"",2019-01-30 07:24:09 UTC,2019-08-21 14:05:11 UTC,800,EUR,false
154,Anemone hyb. 'Overture',,"Una recente varietà dalla fioritura lunga e precoce. Inizia a fiorire a fine luglio e continua sino ad ottobre.
Origine: Cina, ibrido orticolo.
",erbacee perenni,mezzombra,estate,"media, cm. 70-100","fresco, ricco di sostanza organica",5-7 piante/mq.,tondo cm.13 (1 L.),true,false,"",2019-02-01 17:23:59 UTC,2021-01-18 17:30:31 UTC,500,EUR,false
30,Anemone sylvestris,,"Come potete aspettare la primavera senza un A. sylvestris in giardino? I fiori bianchi, a coppa, sono l’annuncio di qualcosa di nuovo. Illumina il sottobosco. Dategli un angolo un po’ fresco in estate. 
Origine: Europa, fino al Caucaso.




",erbacee perenni,mezzombra,primavera,bassa cm. 30-40,"fresco, ricco di sostanza organica",7-11 piante/mq.,tondo cm.13 (1 L.),false,false,"coprisuolo, spontanea",2019-01-30 07:51:15 UTC,2020-10-31 14:25:39 UTC,500,EUR,false
31,Anemone virginiana,,"I fiori bianchi si innalzano su lunghi steli eretti che portano con eleganza belle foglie palmate.  
Origine: Nord America.

",erbacee perenni,"sole, mezz'ombra",primavera,"bassa, cm. 50-60","fresco, ricco di sostanza organica",7-9 piante mq.,tondo cm.13 (1 L.),true,false,"",2019-01-30 07:55:20 UTC,2021-01-05 17:39:16 UTC,600,EUR,false
32,Angelica gigas,,"Le foglie sono interessanti, come in molte ombrellifere, ma decisamente belli i fiori: rosso porpora, portati su steli dello stesso colore. Ama terreni freschi, sciolti e ricchi di sostanza organica.
Origine: Korea.


",erbacee perenni,"sole, mezzombra",tarda primavera-estate,"alta, cm. 100-150","fresco, ricco di sostanza organica",1-3 piante mq.,tondo cm.13 (1 L.),false,false,"fogliame decorativo, insetti",2019-01-30 08:00:17 UTC,2019-08-21 14:10:31 UTC,600,EUR,false
33,Angelica sylvestris,,"Un po’ più piccola della A. archangelica e più graziosa ed elegante per le foglie più finemente divise e i fiori con toni rosati e purpurei. Breve durata, dopo la fioritura tende a morire. Dissemina con facilità.
Origine: Europa.
",erbacee perenni, mezzombra,estate,"alta, cm. 100-150","fresco, ricco di sostanza organica",2-5 piante/mq.,tondo cm.13 (1 L.),false,false,"fogliame decorativo, insetti, spontanea",2019-01-30 08:04:43 UTC,2020-10-31 14:26:13 UTC,500,EUR,false
34,Angelica sylvestris 'Purpurea',,"Come l'Angelica sylvestris ma con foglie purpuree.
Origine: Europa.


",erbacee perenni,"sole, mezzombra",estate,"alta, cm. 100-150","fresco, ricco di sostanza organica",3-5 piante/mq.,tondo cm. 13 (1 L.),true,false,"fogliame decorativo, insetti",2019-01-30 08:09:07 UTC,2019-08-21 14:12:22 UTC,600,EUR,false
35,Anthericum ramosum,,"Poco conosciuta e ancor meno diffusa, merita senz’altro un posto nei giardini. La fioritura ricorda quella bianca della Gaura. Ma con più grazia ed eleganza. E abbiamo detto tutto. Ama il sole e tollera il secco.
Origine: Europa.


",erbacee perenni,sole,estate,"media, cm. 50-70","calcareo, ben drenato",7-9 piante/mq.,tondo cm.13 (1 L.),true,false,"secco, terreni aridi, spontanea ",2019-01-30 08:14:19 UTC,2021-01-05 15:48:27 UTC,600,EUR,false
36,Anthriscus sylvestris 'Ravenswing',,"Le foglie finemente divise lo rendono simile a una felce, purpurea. In realtà è un’ombrellifera, come dimostra la bella fioritura: una trina di fiorellini bianchi. Biennale, si dissemina con grande facilità.
Origine: Europa, Nord Africa, varietà coltivata.

",erbacee perenni,mezzombra,primavera,"media, cm. 70-100",normale,5-7 piante/mq.,tondo cm.13 (1 L.),false,false,"fogliame ornamentale, insetti",2019-01-30 11:10:55 UTC,2020-10-31 14:26:42 UTC,500,EUR,false
